Original: accept|charset , predicted 1st: add
Original: cols , predicted 1st: add|value
Original: assert|value|near , predicted 1st: assert|equals
Original: get|units , predicted 1st: get
Original: tasks , predicted 1st: set|tasks
Original: is|alive , predicted 1st: is|alive
Original: set|acl , predicted 1st: set
Original: code , predicted 1st: set|selector|selector
Original: get|permissions , predicted 1st: create
Original: print|end|tag , predicted 1st: print
Original: get|groups , predicted 1st: get|user|protocol
Original: merge|local|to|builder , predicted 1st: get|node|node
Original: iterator , predicted 1st: get|node|node
Original: has|next , predicted 1st: has|next
Original: next , predicted 1st: next
Original: remove , predicted 1st: remove
Original: merge|local|to|builder , predicted 1st: set|task|task
Original: set|scale , predicted 1st: set|scale
Original: write|input|data , predicted 1st: get|error|error
Original: get|proxies|for|all|name|nodes|in|nameservice , predicted 1st: get
Original: remove|default|acl , predicted 1st: remove
Original: readonly , predicted 1st: add
Original: get|proto , predicted 1st: get
Original: script , predicted 1st: script
Original: get|visible|length , predicted 1st: get|file|length
Original: destroy|cluster , predicted 1st: shutdown
Original: merge|local|to|builder , predicted 1st: set|user|user|queue
Original: class , predicted 1st: add
Original: convert|from|proto|format , predicted 1st: completion|event
Original: remove|token|master|key , predicted 1st: do|get
Original: class , predicted 1st: add
Original: _ , predicted 1st: sub
Original: allow|snapshot , predicted 1st: snapshot
Original: get|har|hash , predicted 1st: hash
Original: maybe|init|builder , predicted 1st: set|response
Original: get|command|line , predicted 1st: get|command|line
Original: set|permission , predicted 1st: set|permission
Original: gen|factory|methods , predicted 1st: generate|method|method
Original: store|token , predicted 1st: create|new|file
Original: is|method|supported , predicted 1st: is|supported|method
Original: check|acls , predicted 1st: get|user|user
Original: add|context , predicted 1st: add
Original: get|bytes|to|copy , predicted 1st: get|copy
Original: clone|delegation|token|for|logical|uri , predicted 1st: parse
Original: r , predicted 1st: 
Original: load|token|master|key , predicted 1st: read|state
Original: get|xceiver|count , predicted 1st: get|count|count
Original: var , predicted 1st: get
Original: object , predicted 1st: set|selector|selector
Original: id , predicted 1st: add
Original: merge|local|to|builder , predicted 1st: on|failed
Original: sub|view , predicted 1st: print
Original: get|proto , predicted 1st: get|response
Original: dfn , predicted 1st: set|selector|selector
Original: close , predicted 1st: close
Original: delete , predicted 1st: delete
Original: maybe|init|builder , predicted 1st: set|up
Original: fieldset , predicted 1st: set|selector|selector
Original: class , predicted 1st: add
Original: refresh|log|retention|settings , predicted 1st: create
Original: get|ugm|protocol , predicted 1st: get|user|user|uuid
Original: get|delegation|tokens , predicted 1st: get|token|token
Original: table , predicted 1st: get|table
Original: save , predicted 1st: write
Original: path|is|directory , predicted 1st: is|directory
Original: create|new|file , predicted 1st: write
Original: fieldset , predicted 1st: 
Original: new|instance , predicted 1st: new|response
Original: init , predicted 1st: init
Original: new|instance , predicted 1st: get|request
Original: call , predicted 1st: create|job|job
Original: run , predicted 1st: do|job
Original: configure|random|bytes|data|generator , predicted 1st: set|up
Original: copy|from|local|file , predicted 1st: check
Original: emit|metric , predicted 1st: parse
Original: samp , predicted 1st: 
Original: run , predicted 1st: get|job
Original: class , predicted 1st: add
Original: span , predicted 1st: add
Original: create|acl|status , predicted 1st: get|status
Original: write , predicted 1st: write
Original: maybe|init|builder , predicted 1st: set|response
Original: refresh|loaded|job|cache , predicted 1st: refresh
Original: get|percentiles , predicted 1st: get
Original: launch|gridmix|job , predicted 1st: wait|for|completion
Original: get|data|node|by|host|name , predicted 1st: get|host|by|host
Original: get|capacity|remaining , predicted 1st: get|stats
Original: is|dir , predicted 1st: is
Original: set|queue|info , predicted 1st: set|queue|info
Original: generate , predicted 1st: test
Original: address , predicted 1st: 
Original: convert|to|proto|format , predicted 1st: get|status
Original: is|excluded , predicted 1st: is
Original: remove|callback , predicted 1st: remove
Original: id , predicted 1st: add
Original: run|job , predicted 1st: get|error|error
Original: start|storage , predicted 1st: create|path
Original: unpack , predicted 1st: do|response
Original: onmouseup , predicted 1st: add
