Original: accept|charset , predicted 1st: add
Original: cols , predicted 1st: add|value
Original: assert|value|near , predicted 1st: assert|assert|value
Original: get|units , predicted 1st: get
Original: tasks , predicted 1st: run
Original: is|alive , predicted 1st: is
Original: set|acl , predicted 1st: set
Original: code , predicted 1st: set|selector
Original: get|permissions , predicted 1st: get|file|entry
Original: print|end|tag , predicted 1st: print
Original: get|groups , predicted 1st: get|user|protocol
Original: merge|local|to|builder , predicted 1st: get|node|node
Original: iterator , predicted 1st: get|node|state
Original: has|next , predicted 1st: has|next
Original: next , predicted 1st: next
Original: remove , predicted 1st: remove
Original: merge|local|to|builder , predicted 1st: set|task
Original: set|scale , predicted 1st: set|scale
Original: write|input|data , predicted 1st: get|error|error
Original: get|proxies|for|all|name|nodes|in|nameservice , predicted 1st: get|addresses
Original: remove|default|acl , predicted 1st: remove|default
Original: readonly , predicted 1st: add|value
Original: get|proto , predicted 1st: build
Original: script , predicted 1st: script|script
Original: get|visible|length , predicted 1st: get|file|length
Original: destroy|cluster , predicted 1st: shutdown
Original: merge|local|to|builder , predicted 1st: set|user|user|roles
Original: class , predicted 1st: add|class
Original: convert|from|proto|format , predicted 1st: task|completion
Original: remove|token|master|key , predicted 1st: close
Original: class , predicted 1st: add|class
Original: _ , predicted 1st: create
Original: allow|snapshot , predicted 1st: snapshot
Original: get|har|hash , predicted 1st: hash
Original: maybe|init|builder , predicted 1st: run
Original: get|command|line , predicted 1st: get|command|line
Original: set|permission , predicted 1st: set|permission|permission
Original: gen|factory|methods , predicted 1st: check|method
Original: store|token , predicted 1st: create
Original: is|method|supported , predicted 1st: is|supported|method
Original: check|acls , predicted 1st: get|user
Original: add|context , predicted 1st: add|filter
Original: get|bytes|to|copy , predicted 1st: get|bytes|to|bytes
Original: clone|delegation|token|for|logical|uri , predicted 1st: add|token
Original: r , predicted 1st: 
Original: load|token|master|key , predicted 1st: read
Original: get|xceiver|count , predicted 1st: get|count
Original: var , predicted 1st: var
Original: object , predicted 1st: set|selector|selector
Original: id , predicted 1st: add|id
Original: merge|local|to|builder , predicted 1st: add|to|to|failed
Original: sub|view , predicted 1st: print
Original: get|proto , predicted 1st: build
Original: dfn , predicted 1st: set|selector
Original: close , predicted 1st: close
Original: delete , predicted 1st: delete
Original: maybe|init|builder , predicted 1st: run
Original: fieldset , predicted 1st: selector|selector
Original: class , predicted 1st: add|class
Original: refresh|log|retention|settings , predicted 1st: refresh|settings
Original: get|ugm|protocol , predicted 1st: get|user|user|protocol
Original: get|delegation|tokens , predicted 1st: get|token|token
Original: table , predicted 1st: table
Original: save , predicted 1st: write
Original: path|is|directory , predicted 1st: is|directory
Original: create|new|file , predicted 1st: write
Original: fieldset , predicted 1st: 
Original: new|instance , predicted 1st: get|response|response
Original: init , predicted 1st: init
Original: new|instance , predicted 1st: get|request
Original: call , predicted 1st: test|data
Original: run , predicted 1st: get|job
Original: configure|random|bytes|data|generator , predicted 1st: init
Original: copy|from|local|file , predicted 1st: validate
Original: emit|metric , predicted 1st: parse
Original: samp , predicted 1st: 
Original: run , predicted 1st: test
Original: class , predicted 1st: add|class
Original: span , predicted 1st: add
Original: create|acl|status , predicted 1st: get|status
Original: write , predicted 1st: write
Original: maybe|init|builder , predicted 1st: run
Original: refresh|loaded|job|cache , predicted 1st: refresh
Original: get|percentiles , predicted 1st: get
Original: launch|gridmix|job , predicted 1st: wait
Original: get|data|node|by|host|name , predicted 1st: get
Original: get|capacity|remaining , predicted 1st: get|stats
Original: is|dir , predicted 1st: is
Original: set|queue|info , predicted 1st: set|queue|info
Original: generate , predicted 1st: create|test
Original: address , predicted 1st: address
Original: convert|to|proto|format , predicted 1st: get|status
Original: is|excluded , predicted 1st: is
Original: remove|callback , predicted 1st: remove
Original: id , predicted 1st: add|id
Original: run|job , predicted 1st: get|error|error
Original: start|storage , predicted 1st: create|state
Original: unpack , predicted 1st: do|response
Original: onmouseup , predicted 1st: add
Original: set|start|range , predicted 1st: set|test
Original: should|allow|standby|reads , predicted 1st: is
Original: get|conf|for|other|node , predicted 1st: get|node
Original: build|token|service|prefix|for|logical|uri , predicted 1st: get|prefix|name
Original: maybe|init|builder , predicted 1st: run
Original: maybe|init|builder , predicted 1st: run
Original: start|decommission , predicted 1st: add
Original: remove|acl|entries , predicted 1st: do|get
Original: i , predicted 1st: set|selector
Original: get|job|attempts , predicted 1st: add
Original: render , predicted 1st: test|html
Original: get|history|info , predicted 1st: init|info
Original: set|failover|configurations , predicted 1st: add|address|address
Original: cite , predicted 1st: set|selector
Original: update|token , predicted 1st: write|token
Original: id , predicted 1st: add|id
Original: hreflang , predicted 1st: add
Original: create , predicted 1st: create|create
Original: close , predicted 1st: close
Original: maybe|init|builder , predicted 1st: run
Original: onblur , predicted 1st: add
Original: new|instance , predicted 1st: get|request
Original: maybe|init|builder , predicted 1st: run
Original: unescape|path|component , predicted 1st: get|name|name
Original: get|client|handler , predicted 1st: get|protocol|protocol
Original: create|file|system , predicted 1st: get|state
Original: get|reduce|output|records , predicted 1st: get|out
Original: get|file|status , predicted 1st: get|status
Original: get|summarizer , predicted 1st: get
Original: get|services , predicted 1st: get|services
Original: get|attribute , predicted 1st: get|attribute
Original: h , predicted 1st: foo
Original: convert|to|proto|format , predicted 1st: get
Original: accept , predicted 1st: add
Original: samp , predicted 1st: set|selector
Original: refresh|admin|acls , predicted 1st: test|admin|admin|admin
Original: init|local|node|manager|infos|list , predicted 1st: run
Original: maybe|init|builder , predicted 1st: run
Original: get|working|directory , predicted 1st: get|home|path
Original: init|local|container|ids , predicted 1st: run
Original: get|datanode|by|xfer|addr , predicted 1st: get
Original: pre , predicted 1st: pre|pre|pre
Original: i , predicted 1st: i
Original: h , predicted 1st: set|selector
Original: merge|local|to|builder , predicted 1st: add|application
Original: set|recursive , predicted 1st: set
Original: pre|head , predicted 1st: init
Original: set|next|directory|input|stream , predicted 1st: read|file
Original: merge|local|to|builder , predicted 1st: set|cluster
Original: iterator , predicted 1st: iterator
Original: logs , predicted 1st: test|render
Original: get|content|summary , predicted 1st: get|content|content|content
Original: loop|until|connected , predicted 1st: connect
Original: class , predicted 1st: add|class
Original: get|usage|string , predicted 1st: get|id
Original: conf|page , predicted 1st: get|model|class
Original: name , predicted 1st: add|name
Original: id , predicted 1st: add|id
Original: create|x|attr|map , predicted 1st: get
Original: hash , predicted 1st: 
Original: task|page , predicted 1st: get|model|class
Original: map , predicted 1st: map
Original: kbd , predicted 1st: set|selector
Original: resolved|address|from|datanode|id , predicted 1st: get|socket|address
Original: get|proto , predicted 1st: build
Original: get|job|types , predicted 1st: get|values
Original: convert|to|proto|format , predicted 1st: get|completion|completion
Original: get|current|block|replication , predicted 1st: get|current|current
Original: configure|high|ram|properties , predicted 1st: init|config
Original: onmouseout , predicted 1st: add
Original: maybe|init|builder , predicted 1st: run
Original: q , predicted 1st: 
Original: get|application|types , predicted 1st: get|application|types
Original: run , predicted 1st: do|error
Original: get|volume|ids , predicted 1st: get|ids
Original: remove|task|report , predicted 1st: remove
Original: set|replication , predicted 1st: set
Original: publish|data|statistics , predicted 1st: publish|data
Original: set|application|states , predicted 1st: set|application|application
Original: get|job , predicted 1st: get|job|info
Original: scan|directory|for|history|files , predicted 1st: scan|directory
Original: set|value , predicted 1st: set|value
Original: value , predicted 1st: add|value
Original: get|proto , predicted 1st: build
Original: set|times , predicted 1st: set
Original: set , predicted 1st: parse
Original: pack , predicted 1st: build|response
Original: get|file|checksum , predicted 1st: get|file
Original: a , predicted 1st: text|text
Original: user|has|administrator|access , predicted 1st: is|user|user
Original: get|scheme , predicted 1st: get|name
Original: find|or|make|emitter , predicted 1st: get
Original: maybe|init|builder , predicted 1st: run
Original: get|method|name , predicted 1st: get|method|name
Original: get|cluster|metrics , predicted 1st: convert
Original: r , predicted 1st: 
Original: id , predicted 1st: add|id
Original: remove|token|master|key , predicted 1st: remove|state|state
Original: init|storage , predicted 1st: set|configuration
Original: get|protocol|version , predicted 1st: get|protocol|version
Original: print|single|distribution|data , predicted 1st: print
Original: print|distribution|set , predicted 1st: print
Original: set|permission , predicted 1st: do|process
Original: get|application|id , predicted 1st: convert|id
Original: convert|to|proto|format , predicted 1st: get|user|info
Original: get|units , predicted 1st: get|name
Original: merge|local|to|builder , predicted 1st: set|application|id
Original: get|default|block|size , predicted 1st: get|default|block|size
Original: make|absolute , predicted 1st: get|path
Original: read|fields , predicted 1st: read
Original: wait|for , predicted 1st: wait
Original: value , predicted 1st: add|value
Original: bq , predicted 1st: 
Original: b , predicted 1st: foo
Original: init|local|application|attempts|list , predicted 1st: test|convert|from|format
Original: height , predicted 1st: add
Original: br , predicted 1st: get|selector
Original: get|replication , predicted 1st: get|block
Original: get|output|records , predicted 1st: get
Original: get|tmax , predicted 1st: get
Original: get|job|counters , predicted 1st: get|job|info
Original: label , predicted 1st: add|label
Original: src , predicted 1st: add
Original: open , predicted 1st: do|get|stream
Original: class , predicted 1st: add|class
Original: set|replication , predicted 1st: do|parse
Original: echo , predicted 1st: print
Original: set|container|list , predicted 1st: set
Original: cancel|delegation|token , predicted 1st: advance|token
Original: get|all|file|info , predicted 1st: get|all|files
Original: main , predicted 1st: main
Original: test|remove|x|attr|permissions , predicted 1st: test|remove
Original: run , predicted 1st: get|object
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: run , predicted 1st: call
Original: create|url , predicted 1st: get|url
Original: sup , predicted 1st: set|selector
Original: id , predicted 1st: add|id
Original: init|application|types , predicted 1st: add|application|types
Original: get|proxyuser|configuration , predicted 1st: get
Original: del , predicted 1st: 
Original: generate|record , predicted 1st: read
Original: get|home|directory , predicted 1st: get|path
Original: release|and|rethrow , predicted 1st: release|release
Original: fixed|bytes , predicted 1st: get|bytes
Original: set|task|report , predicted 1st: set|task|report
Original: close|storage , predicted 1st: close
Original: button , predicted 1st: set|selector
Original: get|underlying|counter , predicted 1st: get|wrapped|model
Original: attempts , predicted 1st: set
Original: usemap , predicted 1st: add
Original: get|container|statuses , predicted 1st: get|container|container
Original: generate|graph|viz , predicted 1st: generate
Original: job|page , predicted 1st: get|model|class
Original: id , predicted 1st: add|id
Original: add|internal|servlet , predicted 1st: add|servlet
Original: merge|local|to|builder , predicted 1st: set|report|report
Original: open , predicted 1st: read|input|stream
Original: get|num|datanodes|in|service , predicted 1st: get|nodes
Original: h , predicted 1st: 
Original: get|parent , predicted 1st: get|parent
Original: get|delegation|token , predicted 1st: get|token|token
Original: emit|metric , predicted 1st: do|process
Original: h , predicted 1st: 
Original: compiled , predicted 1st: get
Original: get|proto , predicted 1st: get
Original: get|output|bytes , predicted 1st: get|output
Original: get|reduce|output|bytes , predicted 1st: get|out
Original: get|map|count , predicted 1st: get
Original: get|len , predicted 1st: get|length
Original: button , predicted 1st: run
Original: set|ready|to|become|active , predicted 1st: get|active
Original: rename|internal , predicted 1st: do|rename
Original: get|task|report , predicted 1st: convert
Original: get|configuration , predicted 1st: get
Original: init , predicted 1st: init
Original: onselect , predicted 1st: add
Original: new|instance , predicted 1st: create|response
Original: has|wildcard , predicted 1st: has|wildcard
Original: mask|seed , predicted 1st: get|bytes
Original: get|file|block|locations , predicted 1st: get|block|block
Original: counters|page , predicted 1st: get|model|class
Original: br , predicted 1st: foo
Original: shutdown|cluster , predicted 1st: stop
Original: emitter|core , predicted 1st: get|event
Original: compare|seed , predicted 1st: get|size
Original: call , predicted 1st: get|job
Original: run , predicted 1st: get|job
Original: make|absolute , predicted 1st: get|path
Original: start , predicted 1st: start
Original: id , predicted 1st: add|id
Original: class , predicted 1st: add|class
Original: maybe|init|builder , predicted 1st: run
Original: ol , predicted 1st: set|selector|selector
Original: script , predicted 1st: script|script
Original: use|logical|uri , predicted 1st: is|host
Original: hr , predicted 1st: get|selector
Original: object , predicted 1st: object
Original: class , predicted 1st: add|class
Original: set|units , predicted 1st: set
Original: refresh|loaded|job|cache , predicted 1st: get|refresh|cache
Original: is|local|mr , predicted 1st: is|local
Original: id , predicted 1st: add|id
Original: id , predicted 1st: add|id
Original: scan|old|dirs|for|job , predicted 1st: get|file|info
Original: refresh|loaded|job|cache , predicted 1st: refresh|cache
Original: rel , predicted 1st: add|value
Original: get|scheme , predicted 1st: get|name
Original: get|hadoop|proxy|user|groups , predicted 1st: get
Original: register , predicted 1st: add
Original: get|container|report , predicted 1st: convert|container
Original: close , predicted 1st: test|join
Original: init|queues , predicted 1st: add|all
Original: is|auto|failover|enabled , predicted 1st: is|show
Original: set|max|events , predicted 1st: set|max|events
Original: do|health|checks , predicted 1st: test
Original: get|file|status , predicted 1st: get|status|file
Original: label , predicted 1st: for
Original: b , predicted 1st: 
Original: conf|table|init , predicted 1st: get|init|name
Original: textarea , predicted 1st: 
Original: log|success , predicted 1st: log
Original: get , predicted 1st: get|server
Original: close|storage , predicted 1st: close
Original: pre|head , predicted 1st: set|up
Original: rename , predicted 1st: do|rename
Original: parse|selector , predicted 1st: get
Original: print|usage , predicted 1st: print
Original: read , predicted 1st: read
Original: emit|metric , predicted 1st: set
Original: load|tokens , predicted 1st: get|tokens
Original: img , predicted 1st: 
Original: validate|task|memory|limits , predicted 1st: check|max|max
Original: is|element , predicted 1st: is|matches
Original: set|state|internal , predicted 1st: execute
Original: get|expected|output , predicted 1st: get|user|names
Original: get|children|num , predicted 1st: get|children|children
Original: get|filter|initializers , predicted 1st: get|initializer
Original: h , predicted 1st: 
Original: get|owner , predicted 1st: get|owner|name
Original: get|proto , predicted 1st: get
Original: set|spec , predicted 1st: set
Original: main , predicted 1st: main
Original: put|metrics , predicted 1st: visit
Original: start|threads , predicted 1st: start
Original: small , predicted 1st: get|all
Original: accesskey , predicted 1st: add
Original: add|unmanaged|listener , predicted 1st: add|listener
Original: find|timestamped|directories , predicted 1st: get
Original: get|child|file|systems , predicted 1st: get|system|file
Original: can|parse , predicted 1st: is|input
Original: small , predicted 1st: 
Original: list|status , predicted 1st: get|status
Original: heartbeat|check , predicted 1st: write
Original: generate|ascii|record , predicted 1st: get
Original: table , predicted 1st: table
Original: multiple , predicted 1st: add
Original: id , predicted 1st: add|id
Original: abbr , predicted 1st: 
Original: name , predicted 1st: add|name
Original: get|server|defaults , predicted 1st: get|server|server
Original: get|x|attr , predicted 1st: get|x
Original: set|conf , predicted 1st: set|service|name
Original: shutdown , predicted 1st: run
Original: h , predicted 1st: foo
Original: get|value , predicted 1st: get|value
Original: add|filter|path|mapping , predicted 1st: add|filter|filter
Original: destroy|file|systems , predicted 1st: tear|down
Original: print|attr , predicted 1st: print
Original: get|application|list , predicted 1st: get|application|list
Original: id , predicted 1st: get
Original: archive|path , predicted 1st: get
Original: usage , predicted 1st: test
Original: cite , predicted 1st: 
Original: class , predicted 1st: add|class
Original: disabled , predicted 1st: add
Original: get|read|statistics , predicted 1st: get|read|read
Original: get|not|ready|reason , predicted 1st: get|counter
Original: check|health , predicted 1st: get|error
Original: print|usage , predicted 1st: generate
Original: init|lut , predicted 1st: process|elements
Original: h , predicted 1st: foo
Original: get|capacity|used|non|dfs , predicted 1st: get|total|non|non|non|non
Original: opt , predicted 1st: add
Original: class , predicted 1st: add|class
Original: rename|internal , predicted 1st: do|rename
Original: get|hadoop|proxy|user|hosts , predicted 1st: get|name
Original: convert|from|proto|format , predicted 1st: create|user|info
Original: get|job|id , predicted 1st: get|job|id|id
Original: set|finish|range , predicted 1st: set|test
Original: get|capacity|total , predicted 1st: get|total|total
Original: run , predicted 1st: build
Original: cite , predicted 1st: add
Original: get|cache|capacity , predicted 1st: get|cache
Original: hash , predicted 1st: hash
Original: pre|head , predicted 1st: init
Original: print|usage , predicted 1st: print
Original: read|file , predicted 1st: get|file
Original: get|task|report|count , predicted 1st: get
Original: about , predicted 1st: test|render
Original: decode|file|name , predicted 1st: get|version|string
Original: get|capacity|used , predicted 1st: get|total
Original: read|fields , predicted 1st: read|from
Original: emit|metric , predicted 1st: parse
Original: maxlength , predicted 1st: add|value
Original: main , predicted 1st: main
Original: get|type|name , predicted 1st: get|type|type
Original: test|existing|user , predicted 1st: test|show|output|only
Original: is|empty|local|name , predicted 1st: is|empty
Original: next|event , predicted 1st: get|history
Original: get|size , predicted 1st: get|size
Original: get|x|attrs , predicted 1st: get
Original: new|instance , predicted 1st: new|response
Original: ol , predicted 1st: 
Original: check|access , predicted 1st: check|access
Original: counter , predicted 1st: set
Original: i , predicted 1st: 
Original: content , predicted 1st: get|model|class
Original: process|general|options , predicted 1st: set
Original: enforce|root|path , predicted 1st: validate
Original: id , predicted 1st: add|id
Original: indent , predicted 1st: do|test
Original: sort , predicted 1st: run
Original: id , predicted 1st: add|id
Original: h , predicted 1st: foo
Original: build|token|service|for|logical|uri , predicted 1st: build
Original: run , predicted 1st: do|extract
Original: onblur , predicted 1st: add
Original: emit|record , predicted 1st: get|test
